in s,C1 in V
-3.00000E-05,2.64521E+00
-2.99988E-05,2.64033E+00
-2.99976E-05,2.63057E+00
-2.99964E-05,2.64521E+00
-2.99952E-05,2.63057E+00
-2.99940E-05,2.64033E+00
-2.99928E-05,2.63057E+00
-2.99916E-05,2.63545E+00
-2.99904E-05,2.62568E+00
-2.99892E-05,2.64033E+00
-2.99880E-05,2.63545E+00
-2.99868E-05,2.64033E+00
-2.99856E-05,2.64033E+00
-2.99844E-05,2.63057E+00
-2.99832E-05,2.64033E+00
-2.99820E-05,2.63545E+00
-2.99808E-05,2.63057E+00
-2.99796E-05,2.64521E+00
-2.99784E-05,2.64033E+00
-2.99772E-05,2.64033E+00
-2.99760E-05,2.64033E+00
-2.99748E-05,2.64033E+00
-2.99736E-05,2.64033E+00
-2.99724E-05,2.65010E+00
-2.99712E-05,2.63545E+00
-2.99700E-05,2.63545E+00
-2.99688E-05,2.63057E+00
-2.99676E-05,2.64033E+00
-2.99664E-05,2.64033E+00
-2.99652E-05,2.64033E+00
-2.99640E-05,2.63057E+00
-2.99628E-05,2.65010E+00
-2.99616E-05,2.62080E+00
-2.99604E-05,2.64033E+00
-2.99592E-05,2.62568E+00
-2.99580E-05,2.63545E+00
-2.99568E-05,2.64033E+00
-2.99556E-05,2.64033E+00
-2.99544E-05,2.63057E+00
-2.99532E-05,2.64521E+00
-2.99520E-05,2.63057E+00
-2.99508E-05,2.63057E+00
-2.99496E-05,2.63057E+00
-2.99484E-05,2.63057E+00
-2.99472E-05,2.63057E+00
-2.99460E-05,2.64033E+00
-2.99448E-05,2.63545E+00
-2.99436E-05,2.64033E+00
-2.99424E-05,2.64521E+00
-2.99412E-05,2.63057E+00
-2.99400E-05,2.62568E+00
-2.99388E-05,2.64033E+00
-2.99376E-05,2.63057E+00
-2.99364E-05,2.64033E+00
-2.99352E-05,2.63057E+00
-2.99340E-05,2.63545E+00
-2.99328E-05,2.65010E+00
-2.99316E-05,2.64033E+00
-2.99304E-05,2.64033E+00
-2.99292E-05,2.63545E+00
-2.99280E-05,2.63545E+00
-2.99268E-05,2.64033E+00
-2.99256E-05,2.64033E+00
-2.99244E-05,2.63545E+00
-2.99232E-05,2.64033E+00
-2.99220E-05,2.64521E+00
-2.99208E-05,2.64033E+00
-2.99196E-05,2.62568E+00
-2.99184E-05,2.63545E+00
-2.99172E-05,2.64033E+00
-2.99160E-05,2.62080E+00
-2.99148E-05,2.63057E+00
-2.99136E-05,2.63057E+00
-2.99124E-05,2.62568E+00
-2.99112E-05,2.62568E+00
-2.99100E-05,2.63057E+00
-2.99088E-05,2.63545E+00
-2.99076E-05,2.62568E+00
-2.99064E-05,2.63057E+00
-2.99052E-05,2.63545E+00
-2.99040E-05,2.63545E+00
-2.99028E-05,2.64033E+00
-2.99016E-05,2.63057E+00
-2.99004E-05,2.61592E+00
-2.98992E-05,2.63057E+00
-2.98980E-05,2.62568E+00
-2.98968E-05,2.63545E+00
-2.98956E-05,2.63545E+00
-2.98944E-05,2.63057E+00
-2.98932E-05,2.62568E+00
-2.98920E-05,2.64033E+00
-2.98908E-05,2.62568E+00
-2.98896E-05,2.63545E+00
-2.98884E-05,2.63545E+00
-2.98872E-05,2.64521E+00
-2.98860E-05,2.64033E+00
-2.98848E-05,2.64521E+00
-2.98836E-05,2.63057E+00
-2.98824E-05,2.62080E+00
-2.98812E-05,2.63545E+00
-2.98800E-05,2.64033E+00
-2.98788E-05,2.63545E+00
-2.98776E-05,2.64521E+00
-2.98764E-05,2.64521E+00
-2.98752E-05,2.62568E+00
-2.98740E-05,2.64033E+00
-2.98728E-05,2.63057E+00
-2.98716E-05,2.64033E+00
-2.98704E-05,2.62568E+00
-2.98692E-05,2.64033E+00
-2.98680E-05,2.64521E+00
-2.98668E-05,2.63545E+00
-2.98656E-05,2.63057E+00
-2.98644E-05,2.65498E+00
-2.98632E-05,2.64033E+00
-2.98620E-05,2.63545E+00
-2.98608E-05,2.62568E+00
-2.98596E-05,2.63057E+00
-2.98584E-05,2.62568E+00
-2.98572E-05,2.64033E+00
-2.98560E-05,2.63545E+00
-2.98548E-05,2.63545E+00
-2.98536E-05,2.64521E+00
-2.98524E-05,2.64521E+00
-2.98512E-05,2.63545E+00
-2.98500E-05,2.63545E+00
-2.98488E-05,2.63545E+00
-2.98476E-05,2.63057E+00
-2.98464E-05,2.63545E+00
-2.98452E-05,2.64033E+00
-2.98440E-05,2.63057E+00
-2.98428E-05,2.65010E+00
-2.98416E-05,2.62568E+00
-2.98404E-05,2.62568E+00
-2.98392E-05,2.63545E+00
-2.98380E-05,2.63545E+00
-2.98368E-05,2.64033E+00
-2.98356E-05,2.65010E+00
-2.98344E-05,2.63057E+00
-2.98332E-05,2.62568E+00
-2.98320E-05,2.64521E+00
-2.98308E-05,2.64033E+00
-2.98296E-05,2.65010E+00
-2.98284E-05,2.63545E+00
-2.98272E-05,2.64033E+00
-2.98260E-05,2.64521E+00
-2.98248E-05,2.65010E+00
-2.98236E-05,2.62568E+00
-2.98224E-05,2.63545E+00
-2.98212E-05,2.64033E+00
-2.98200E-05,2.64521E+00
-2.98188E-05,2.63057E+00
-2.98176E-05,2.64033E+00
-2.98164E-05,2.64521E+00
-2.98152E-05,2.63057E+00
-2.98140E-05,2.63545E+00
-2.98128E-05,2.62080E+00
-2.98116E-05,2.63545E+00
-2.98104E-05,2.63545E+00
-2.98092E-05,2.64033E+00
-2.98080E-05,2.64521E+00
-2.98068E-05,2.65498E+00
-2.98056E-05,2.63545E+00
-2.98044E-05,2.64033E+00
-2.98032E-05,2.64521E+00
-2.98020E-05,2.62568E+00
-2.98008E-05,2.63057E+00
-2.97996E-05,2.63545E+00
-2.97984E-05,2.64033E+00
-2.97972E-05,2.63057E+00
-2.97960E-05,2.63545E+00
-2.97948E-05,2.63057E+00
-2.97936E-05,2.63057E+00
-2.97924E-05,2.64033E+00
-2.97912E-05,2.62080E+00
-2.97900E-05,2.63545E+00
-2.97888E-05,2.63057E+00
-2.97876E-05,2.65010E+00
-2.97864E-05,2.62568E+00
-2.97852E-05,2.64033E+00
-2.97840E-05,2.62568E+00
-2.97828E-05,2.64033E+00
-2.97816E-05,2.64521E+00
-2.97804E-05,2.63545E+00
-2.97792E-05,2.64033E+00
-2.97780E-05,2.62568E+00
-2.97768E-05,2.64033E+00
-2.97756E-05,2.64033E+00
-2.97744E-05,2.63545E+00
-2.97732E-05,2.64033E+00
-2.97720E-05,2.64521E+00
-2.97708E-05,2.62568E+00
-2.97696E-05,2.62568E+00
-2.97684E-05,2.64521E+00
-2.97672E-05,2.63545E+00
-2.97660E-05,2.64521E+00
-2.97648E-05,2.64033E+00
-2.97636E-05,2.64521E+00
-2.97624E-05,2.64033E+00
-2.97612E-05,2.65010E+00
-2.97600E-05,2.64521E+00
-2.97588E-05,2.63545E+00
-2.97576E-05,2.63545E+00
-2.97564E-05,2.64033E+00
-2.97552E-05,2.62080E+00
-2.97540E-05,2.64521E+00
-2.97528E-05,2.64033E+00
-2.97516E-05,2.63545E+00
-2.97504E-05,2.62568E+00
-2.97492E-05,2.64521E+00
-2.97480E-05,2.64521E+00
-2.97468E-05,2.64521E+00
-2.97456E-05,2.63545E+00
-2.97444E-05,2.64033E+00
-2.97432E-05,2.63545E+00
-2.97420E-05,2.64033E+00
-2.97408E-05,2.64033E+00
-2.97396E-05,2.64521E+00
-2.97384E-05,2.63545E+00
-2.97372E-05,2.63057E+00
-2.97360E-05,2.63057E+00
-2.97348E-05,2.64033E+00
-2.97336E-05,2.63057E+00
-2.97324E-05,2.62568E+00
-2.97312E-05,2.63057E+00
-2.97300E-05,2.64521E+00
-2.97288E-05,2.63545E+00
-2.97276E-05,2.64521E+00
-2.97264E-05,2.63057E+00
-2.97252E-05,2.64521E+00
-2.97240E-05,2.63057E+00
-2.97228E-05,2.63057E+00
-2.97216E-05,2.64521E+00
-2.97204E-05,2.64521E+00
-2.97192E-05,2.63057E+00
-2.97180E-05,2.64033E+00
-2.97168E-05,2.63057E+00
-2.97156E-05,2.63545E+00
-2.97144E-05,2.63057E+00
-2.97132E-05,2.63057E+00
-2.97120E-05,2.62568E+00
-2.97108E-05,2.64033E+00
-2.97096E-05,2.63545E+00
-2.97084E-05,2.61104E+00
-2.97072E-05,2.64033E+00
-2.97060E-05,2.64033E+00
-2.97048E-05,2.63057E+00
-2.97036E-05,2.64033E+00
-2.97024E-05,2.64033E+00
-2.97012E-05,2.64033E+00
-2.97000E-05,2.63057E+00
-2.96988E-05,2.64033E+00
-2.96976E-05,2.63057E+00
-2.96964E-05,2.63057E+00
-2.96952E-05,2.64033E+00
-2.96940E-05,2.63057E+00
-2.96928E-05,2.62080E+00
-2.96916E-05,2.64033E+00
-2.96904E-05,2.63545E+00
-2.96892E-05,2.63057E+00
-2.96880E-05,2.63057E+00
-2.96868E-05,2.63545E+00
-2.96856E-05,2.62080E+00
-2.96844E-05,2.62568E+00
-2.96832E-05,2.64521E+00
-2.96820E-05,2.64033E+00
-2.96808E-05,2.65498E+00
-2.96796E-05,2.64033E+00
-2.96784E-05,2.64033E+00
-2.96772E-05,2.63545E+00
-2.96760E-05,2.64033E+00
-2.96748E-05,2.62080E+00
-2.96736E-05,2.63057E+00
-2.96724E-05,2.65498E+00
-2.96712E-05,2.63057E+00
-2.96700E-05,2.62568E+00
-2.96688E-05,2.63545E+00
-2.96676E-05,2.63057E+00
-2.96664E-05,2.63057E+00
-2.96652E-05,2.64521E+00
-2.96640E-05,2.64521E+00
-2.96628E-05,2.63057E+00
-2.96616E-05,2.64521E+00
-2.96604E-05,2.63545E+00
-2.96592E-05,2.63057E+00
-2.96580E-05,2.64033E+00
-2.96568E-05,2.63057E+00
-2.96556E-05,2.64521E+00
-2.96544E-05,2.64033E+00
-2.96532E-05,2.65010E+00
-2.96520E-05,2.63545E+00
-2.96508E-05,2.64033E+00
-2.96496E-05,2.63057E+00
-2.96484E-05,2.64033E+00
-2.96472E-05,2.62080E+00
-2.96460E-05,2.63545E+00
-2.96448E-05,2.63057E+00
-2.96436E-05,2.64521E+00
-2.96424E-05,2.62080E+00
-2.96412E-05,2.62568E+00
-2.96400E-05,2.62568E+00
-2.96388E-05,2.64033E+00
-2.96376E-05,2.63545E+00
-2.96364E-05,2.63057E+00
-2.96352E-05,2.62080E+00
-2.96340E-05,2.65010E+00
-2.96328E-05,2.64521E+00
-2.96316E-05,2.62568E+00
