in s,C1 in V
-3.2997600E-04,-2.00724E+00
-3.2996200E-04,-1.98321E+00
-3.2994800E-04,-2.00724E+00
-3.2993400E-04,-1.99923E+00
-3.2992000E-04,-2.01525E+00
-3.2990600E-04,-2.01525E+00
-3.2989200E-04,-2.02325E+00
-3.2987800E-04,-2.03927E+00
-3.2986400E-04,-2.01525E+00
-3.2985000E-04,-2.01525E+00
-3.2983600E-04,-2.02325E+00
-3.2982200E-04,-2.00724E+00
-3.2980800E-04,-2.00724E+00
-3.2979400E-04,-2.00724E+00
-3.2978000E-04,-1.99923E+00
-3.2976600E-04,-2.01525E+00
-3.2975200E-04,-2.01525E+00
-3.2973800E-04,-2.01525E+00
-3.2972400E-04,-1.99923E+00
-3.2971000E-04,-2.00724E+00
-3.2969600E-04,-1.99923E+00
-3.2968200E-04,-2.00724E+00
-3.2966800E-04,-2.03126E+00
-3.2965400E-04,-1.99923E+00
-3.2964000E-04,-2.00724E+00
-3.2962600E-04,-1.99923E+00
-3.2961200E-04,-1.99923E+00
-3.2959800E-04,-2.00724E+00
-3.2958400E-04,-2.01525E+00
-3.2957000E-04,-2.01525E+00
-3.2955600E-04,-2.02325E+00
-3.2954200E-04,-1.99923E+00
-3.2952800E-04,-2.03126E+00
-3.2951400E-04,-2.03126E+00
-3.2950000E-04,-1.99122E+00
-3.2948600E-04,-2.00724E+00
-3.2947200E-04,-1.99923E+00
-3.2945800E-04,-2.00724E+00
-3.2944400E-04,-2.00724E+00
-3.2943000E-04,-1.99122E+00
-3.2941600E-04,-2.00724E+00
-3.2940200E-04,-2.00724E+00
-3.2938800E-04,-2.00724E+00
-3.2937400E-04,-2.02325E+00
-3.2936000E-04,-2.02325E+00
-3.2934600E-04,-2.02325E+00
-3.2933200E-04,-1.98321E+00
-3.2931800E-04,-2.00724E+00
-3.2930400E-04,-2.00724E+00
-3.2929000E-04,-2.00724E+00
-3.2927600E-04,-1.99122E+00
-3.2926200E-04,-2.00724E+00
-3.2924800E-04,-2.01525E+00
-3.2923400E-04,-2.02325E+00
-3.2922000E-04,-2.01525E+00
-3.2920600E-04,-2.00724E+00
-3.2919200E-04,-1.99122E+00
-3.2917800E-04,-2.00724E+00
-3.2916400E-04,-1.99122E+00
-3.2915000E-04,-2.02325E+00
-3.2913600E-04,-2.02325E+00
-3.2912200E-04,-2.01525E+00
-3.2910800E-04,-1.99122E+00
-3.2909400E-04,-2.01525E+00
-3.2908000E-04,-2.01525E+00
-3.2906600E-04,-1.99923E+00
-3.2905200E-04,-2.02325E+00
-3.2903800E-04,-2.00724E+00
-3.2902400E-04,-2.00724E+00
-3.2901000E-04,-2.00724E+00
-3.2899600E-04,-2.03126E+00
-3.2898200E-04,-1.99923E+00
-3.2896800E-04,-1.99122E+00
-3.2895400E-04,-1.99923E+00
-3.2894000E-04,-2.00724E+00
-3.2892600E-04,-2.01525E+00
-3.2891200E-04,-1.99923E+00
-3.2889800E-04,-1.99923E+00
-3.2888400E-04,-1.99923E+00
-3.2887000E-04,-2.00724E+00
-3.2885600E-04,-2.03126E+00
-3.2884200E-04,-2.00724E+00
-3.2882800E-04,-2.03126E+00
-3.2881400E-04,-2.00724E+00
-3.2880000E-04,-2.00724E+00
-3.2878600E-04,-2.03126E+00
-3.2877200E-04,-2.03126E+00
-3.2875800E-04,-2.00724E+00
-3.2874400E-04,-2.00724E+00
-3.2873000E-04,-1.99923E+00
-3.2871600E-04,-1.99122E+00
-3.2870200E-04,-1.99923E+00
-3.2868800E-04,-1.99122E+00
-3.2867400E-04,-2.02325E+00
