x(mm) - Plot 0	I(x) - Plot 0	
0	0.000907712	
0.2	0.000883303	
0.4	0.000868632	
0.6	0.00087329	
0.8	0.000875949	
1	0.000887116	
1.2	0.000900731	
1.4	0.000909563	
1.6	0.00089847	
1.8	0.000875613	
2	0.00085934	
2.2	0.00085852	
2.4	0.000854309	
2.6	0.000857601	
2.8	0.000871054	
3	0.00088452	
3.2	0.000889551	
3.4	0.000885315	
3.6	0.000868831	
3.8	0.000852446	
4	0.000860769	
4.2	0.000878197	
4.4	0.000887303	
4.6	0.000892247	
4.8	0.000925787	
5	0.000918818	
5.2	0.000898433	
5.4	0.000889948	
5.6	0.000890495	
5.8	0.000896917	
6	0.000916396	
6.2	0.000934135	
6.4	0.000947675	
6.6	0.000940706	
6.8	0.000927501	
7	0.00090765	
7.2	0.000894073	
7.4	0.000889986	
7.6	0.000915712	
7.8	0.000942967	
8	0.000963488	
8.2	0.000968768	
8.4	0.000954023	
8.6	0.000931961	
8.8	0.000917327	
9	0.000918942	
9.2	0.000935725	
9.4	0.000959513	
9.6	0.000978855	
9.8	0.000980544	
10	0.000963923	
10.2	0.000937936	
10.4	0.000921104	
10.6	0.000920433	
10.8	0.000936259	
11	0.000962867	
11.2	0.000986047	
11.4	0.000992358	
11.6	0.000980569	
11.8	0.000953811	
12	0.00093011	
12.2	0.000921464	
12.4	0.000934222	
12.6	0.000963463	
12.8	0.000992631	
13	0.00100432	
13.2	0.000992171	
13.4	0.000963985	
13.6	0.000933203	
13.8	0.00092216	
14	0.000937451	
14.2	0.00096842	
14.4	0.00100012	
14.6	0.00101081	
14.8	0.000997724	
15	0.000961637	
15.2	0.000914868	
15.4	0.000875091	
15.6	0.000880644	
15.8	0.000935079	
16	0.00097519	
16.2	0.00100981	
16.4	0.00101678	
16.6	0.000987277	
16.8	0.000938532	
17	0.000906284	
17.2	0.000910868	
17.4	0.000947116	
17.6	0.000998445	
17.8	0.00103561	
18	0.00103039	
18.2	0.000991823	
18.4	0.000942818	
18.6	0.000909774	
18.8	0.000906694	
19	0.00094442	
19.2	0.000998879	
19.4	0.00104931	
19.6	0.00106728	
19.8	0.00103449	
20	0.000983116	
20.2	0.000929464	
20.4	0.000911514	
20.6	0.000941277	
20.8	0.00100361	
21	0.00106385	
21.2	0.00108874	
21.4	0.00106579	
21.6	0.000998718	
21.8	0.000940271	
22	0.000921849	
22.2	0.000954731	
22.4	0.00102287	
22.6	0.00108249	
22.8	0.00111416	
23	0.00109667	
23.2	0.00103479	
23.4	0.000961029	
23.6	0.000919663	
23.8	0.000932867	
24	0.000998395	
24.2	0.00108897	
24.4	0.00115421	
24.6	0.00115147	
24.8	0.00107544	
25	0.000984084	
25.2	0.000921551	
25.4	0.00092642	
25.6	0.00100282	
25.8	0.00112335	
26	0.00118541	
26.2	0.00117046	
26.4	0.00109595	
26.6	0.00101067	
26.8	0.000945774	
27	0.000944196	
27.2	0.00101879	
27.4	0.00113641	
27.6	0.00122718	
27.8	0.00124864	
28	0.00118713	
28.2	0.00107478	
28.4	0.000971389	
28.6	0.000948631	
28.8	0.0010192	
29	0.00115202	
29.2	0.00126636	
29.4	0.0012994	
29.6	0.00123068	
29.8	0.00108912	
30	0.000975724	
30.2	0.000955923	
30.4	0.00103667	
30.6	0.00116805	
30.8	0.00131344	
31	0.00137783	
31.2	0.00132213	
31.4	0.00117665	
31.6	0.00102443	
31.8	0.000951961	
32	0.00100417	
32.2	0.00117028	
32.4	0.00136268	
32.6	0.00145933	
32.8	0.0014206	
33	0.00124285	
33.2	0.00106366	
33.4	0.00096565	
33.6	0.00103515	
33.8	0.00124525	
34	0.00146326	
34.2	0.00156981	
34.4	0.00151638	
34.6	0.00134332	
34.8	0.00112915	
35	0.00098724	
35.2	0.00102316	
35.4	0.00122977	
35.6	0.00150927	
35.8	0.00170274	
36	0.00171386	
36.2	0.00152485	
36.4	0.00122894	
36.6	0.00101585	
36.8	0.00103191	
37	0.00127546	
37.2	0.00161639	
37.4	0.00186456	
37.6	0.00187296	
37.8	0.00163312	
38	0.00128397	
38.2	0.00104073	
38.4	0.00104841	
38.6	0.00130673	
38.8	0.00169933	
39	0.00205205	
39.2	0.0021501	
39.4	0.00194134	
39.6	0.00153018	
39.8	0.00115407	
40	0.00104411	
40.2	0.00128529	
40.4	0.00180075	
40.6	0.00231888	
40.8	0.00252358	
41	0.00227327	
41.2	0.0017513	
41.4	0.00127172	
41.6	0.00111087	
41.8	0.00144322	
42	0.00214459	
42.2	0.00277428	
42.4	0.0030217	
42.6	0.00277334	
42.8	0.0021408	
43	0.00143647	
43.2	0.00112777	
43.4	0.0014645	
43.6	0.00229139	
43.8	0.00320839	
44	0.00376753	
44.2	0.0035999	
44.4	0.00279633	
44.6	0.00174615	
44.8	0.00122279	
45	0.00161653	
45.2	0.0027596	
45.4	0.00412579	
45.6	0.00498117	
45.8	0.00473136	
46	0.00351534	
46.2	0.00207998	
46.4	0.00131544	
46.6	0.0017723	
46.8	0.00335328	
47	0.00544044	
47.2	0.00706015	
47.4	0.00706648	
47.6	0.00552181	
47.8	0.00327712	
48	0.00169874	
48.2	0.00198308	
48.4	0.00443381	
48.6	0.00813748	
48.8	0.0111075	
49	0.0114097	
49.2	0.00925252	
49.4	0.00532221	
49.6	0.00252527	
49.8	0.0031481	
50	0.00823631	
50.2	0.0154668	
50.4	0.02121	
50.6	0.0231544	
50.8	0.0201	
51	0.0127355	
51.2	0.0065585	
51.4	0.00731146	
51.6	0.0187982	
51.8	0.0375629	
52	0.0607103	
52.2	0.0684901	
52.4	0.0669201	
52.6	0.0540954	
52.8	0.0415567	
53	0.0603635	
53.2	0.117984	
56	0.0382088	
56.2	0.0154058	
56.4	0.0324736	
56.6	0.0496421	
56.8	0.0620764	
57	0.0567299	
57.2	0.0396615	
57.4	0.0207023	
57.6	0.00686133	
57.8	0.00351609	
58	0.00836705	
58.2	0.0158746	
58.4	0.0209025	
58.6	0.0209859	
58.8	0.015989	
59	0.00928663	
