Displacement,Force
1,0.299999952
1,0.400000095
1.100000024,0.400000095
1.100000024,0.299999952
1.100000024,0.200000048
1.200000048,0.099999905
1.200000048,0
1.200000048,-0.099999905
1.200000048,-0.200000048
1.200000048,-0.299999952
1.200000048,-0.400000095
1.200000048,-0.5
1.200000048,-0.600000024
1.299999952,-0.600000024
1.299999952,-0.700000048
1.299999952,-0.799999952
1.299999952,-1
1.299999952,-1.100000024
1.399999976,-1.200000048
1.399999976,-1.399999976
1.399999976,-1.5
1.399999976,-1.600000024
1.399999976,-1.800000012
1.5,-1.800000012
1.5,-2
1.600000024,-2.199999988
1.700000048,-2.399999999
1.700000048,-2.5
1.700000048,-2.600000001
1.799999952,-2.900000006
1.899999976,-3
1.899999976,-3.100000024
2,-3.399999976
2,-3.600000024
2,-3.799999952
2,-3.899999976
2.099999905,-4
2.099999905,-4.100000024
2.099999905,-4.200000048
2.200000048,-4.200000048
2.200000048,-4.299999952
2.200000048,-4.399999976
2.200000048,-4.5
2.200000048,-4.599999905
2.299999952,-4.599999905
2.299999952,-4.799999952
2.299999952,-5
2.400000095,-5
2.5,-5.099999905
2.5,-5.200000048
2.5,-5.299999952
2.5,-5.400000095
2.599999905,-5.400000095
2.599999905,-5.5
2.700000048,-5.599999905
2.700000048,-5.799999952
2.799999952,-5.799999952
2.799999952,-5.900000095
2.900000095,-6.099999905
2.900000095,-6.200000048
3,-6.200000048
3,-6.299999952
3.099999905,-6.400000095
3.099999905,-6.599999905
3.200000048,-6.599999905
3.299999952,-6.599999905
3.299999952,-6.699999809
3.400000095,-6.800000191
3.400000095,-6.900000095
3.400000095,-7
3.5,-7
3.599999905,-7.099999905
3.599999905,-7.300000191
3.700000048,-7.400000095
3.799999952,-7.400000095
3.900000095,-7.400000095
4,-7.5
4,-7.599999905
4.099999905,-7.699999809
4.099999905,-7.800000191
4.199999809,-7.800000191
4.300000191,-7.800000191
4.400000095,-7.800000191
4.5,-7.900000095
4.599999905,-8.099999905
4.599999905,-8.199999809
4.699999809,-8.199999809
4.800000191,-8.199999809
4.900000095,-8.199999809
5,-8.199999809
5.099999905,-8.199999809
5.199999809,-8.199999809
5.300000191,-8.300000191
5.300000191,-8.400000095
5.400000095,-8.5
5.400000095,-8.599999905
5.5,-8.599999905
5.599999905,-8.599999905
5.699999809,-8.599999905
5.800000191,-8.599999905
5.900000095,-8.599999905
6,-8.599999905
6.099999905,-8.599999905
6.199999809,-8.599999905
